FIPS,% Adults with Diabetes,% Black,% American Indian & Alaska Native,% 65 and over
16035,12.100000,0.650834,2.432062,27.277917
16037,7.900000,0.420561,0.864486,29.042056
16039,10.900000,2.982501,1.680179,13.478117
16041,7.700000,0.262276,0.983535,14.155617
16043,11.400000,0.318955,1.040401,16.805893
16045,11.500000,0.238176,1.202223,21.906544
16047,10.700000,0.309292,2.099237,17.287444
16049,10.200000,0.490523,3.149034,27.893175
16051,10.900000,0.281939,1.338361,11.498353
16053,6.900000,0.362274,2.240267,12.979388
16055,7.800000,0.376459,1.347327,18.990124
16057,5.500000,1.073902,0.882045,13.469876
16059,10.500000,0.288908,1.256124,30.260018
