FIPS,Years of Potential Life Lost Rate,% Fair or Poor Health,% Smokers,% Adults with Obesity,Primary Care Physicians Rate,% Flu Vaccinated,% Unemployed,Average Daily PM2.5,% Severe Housing Problems
5039,10401.357108,22.724612,19.211906,38.500000,40.578930,32.000000,4.411242,9.900000,9.937888
5041,13312.826000,31.979910,24.251848,37.900000,42.502550,38.000000,4.537939,10.000000,15.119617
5043,11207.960123,25.466293,20.831700,40.800000,70.092200,43.000000,5.001934,9.800000,15.856237
5045,7859.047036,20.651997,20.535015,35.200000,49.331200,48.000000,3.279329,10.600000,15.431530
5047,12539.556948,21.811707,21.150184,34.000000,27.948570,48.000000,3.591682,9.800000,14.823009
5049,11065.247878,22.386931,20.012115,27.700000,58.067190,38.000000,3.995838,9.700000,14.122137
5051,11022.944828,19.986588,19.415845,29.500000,88.183420,54.000000,4.046866,9.900000,17.209763
5053,8195.845806,20.228555,18.222246,35.700000,11.010180,54.000000,3.112607,10.000000,12.663755
5055,10790.047092,20.034220,19.622217,36.400000,57.709810,45.000000,3.497849,10.800000,11.631375
5057,9327.654825,26.767115,22.176658,29.100000,27.446140,41.000000,3.562778,10.100000,15.653299
5059,11697.110546,20.161343,20.333527,36.100000,20.849470,54.000000,3.766169,10.200000,13.006135
5061,10576.887689,26.394572,21.855605,44.500000,44.516990,45.000000,3.461668,10.000000,12.031558
5063,9088.758962,22.985250,19.872211,28.600000,77.325090,44.000000,4.080878,10.200000,13.447433
5065,11560.772389,20.424631,19.661089,34.500000,36.533680,38.000000,5.545287,9.800000,12.616822
5067,11656.854031,25.456039,22.098124,43.000000,40.852060,49.000000,6.152783,10.200000,13.504823
5069,12661.118655,25.737283,21.331823,40.800000,68.002600,41.000000,5.287537,10.400000,17.498192
5071,9636.567043,24.322377,20.752465,39.500000,56.492920,48.000000,4.528483,9.800000,15.077384
5073,10166.591113,25.293873,20.145484,46.200000,29.146020,30.000000,5.246296,9.700000,16.468591
5075,11413.883355,20.941746,19.394642,32.300000,30.257190,25.000000,3.922426,10.400000,11.733535
5077,10547.999744,29.158043,24.770229,39.400000,10.897990,34.000000,4.833733,10.100000,17.090395
5079,9839.758897,24.863480,22.467421,32.600000,14.656310,42.000000,4.305865,10.000000,15.228426
